기간,회원구분,급전방식,사업구분,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2024/11,합계,합계,합계,세종,0,0,0,0,1127.612,0,5.28,0,81.64259000000003,0,2.31,0,5,0,3.25,1225.0945900000002
2024/11,합계,합계,합계,소계,26050,39817.882,400,627.55,45229.255999999994,4700,1085.6019999999996,346.33,26834.682573002832,2247.7717,1802.8564,254.58,1845.647,0,449.53499999999997,151706.60688300282
2024/10,합계,합계,합계,서울,0,0,0,0,802.346,0,86.9,0,46.73131500000001,0,0,0,5.8,0,27.950000000000003,969.727315
2024/10,합계,합계,합계,부산,4550,19,0,0,1845.8360000000002,0,40.480000000000004,0,239.93900499999987,0.762,0.02,0,4.574,0,33.9,6734.511005
2024/10,합계,합계,합계,대구,0,72.9,0,0,640.7,0,4.11,0,340.39437100000083,0,3.56,0,4.5,0,9.9,1076.0643710000008
2024/10,합계,합계,합계,인천,0,5080,0,36.22999999999999,8576.747,0,245.74500000000003,0,141.75709499999994,49,12.599,0,76.33,0,30.78,14249.188094999998
2024/10,합계,합계,합계,광주,0,0,0,0,115.24600000000001,0,21.035,0,322.86438600000014,0,1.83,0,2.12,0,3.96,467.0553860000001
2024/10,합계,합계,합계,대전,0,0,0,0,48.3,0,7.165000000000001,0,59.15355499999998,0,0,0,0.099,0,88,202.717555
2024/10,합계,합계,합계,울산,2800,0,0,0,2514.7,0,37.298,0,127.3718250000002,0,0.3,0,0,0,18.2,5497.869825
2024/10,합계,합계,합계,경기,0,253.35500000000002,0,39.35,18987.716999999997,400,256.49,0,1786.045411000011,5.271,275.90900000000005,254,62.522999999999996,0,51.45499999999999,22372.115411000006
2024/10,합계,합계,합계,강원,0,6364,400,0,1279.2,1000,98.49600000000001,0,1873.011033000047,570.1980000000002,525.0949999999999,0,368.46500000000003,0,18.97,12497.435033000047
2024/10,합계,합계,합계,충북,0,0,0,0,0,0,39.6,0,1474.0397840000358,0,507.004,0,2.66,0,51.297,2086.6007840000357
2024/10,합계,합계,합계,충남,0,18246.058,0,469.61,4208.45,0,82.72,346.33,3455.0949729999656,2,32.297,0,383.56,0,9.39,27236.00533299997
2024/10,합계,합계,합계,전북,0,445.369,0,7.340000000000001,718.4000000000001,600,15.42,0,4483.367277000316,79.5,78.91699999999999,0,477.812,0,14.695,6921.119077000316
2024/10,합계,합계,합계,전남,5900,981.1,0,22.43999999999999,2378.9,0,68.56,0,5975.067905000008,454.87499999999994,36.795,0.08,2.229,0,22.869999999999997,15845.036955000007
2024/10,합계,합계,합계,경북,12800,156.1,0,18.5,361.6,1400,66.988,0,3657.7041039999303,561.3297,179.95499999999998,0,1.5,0,38.935,19242.61180399993
2024/10,합계,합계,합계,경남,0,8200,0,27.19,1130.972,1300,4.515000000000001,0,1840.0725200000295,86.18599999999999,145.469,0,14.025,0,6.783,12755.212520000028
2024/10,합계,합계,합계,제주,0,0,0,6.890000000000001,492.53,0,0,0,562.1815250000004,421.96999999999997,0.8164,0.5,434.45,0,19.2,1938.5379250000003
2024/10,합계,합계,합계,세종,0,0,0,0,1127.612,0,5.28,0,81.51636000000002,0,2.31,0,5,0,3.25,1224.96836
2024/10,합계,합계,합계,소계,26050,39817.882,400,627.55,45229.255999999994,4700,1080.8019999999995,346.33,26466.31244400281,2231.0917,1802.8764,254.58,1845.647,0,449.53499999999997,151316.7767540028
2024/09,합계,합계,합계,서울,0,0,0,0,802.346,0,86.9,0,46.726815,0,0,0,5.8,0,27.950000000000003,969.722815
2024/09,합계,합계,합계,부산,4550,19,0,0,1845.8360000000002,0,40.480000000000004,0,233.44416999999976,0.762,0.02,0,4.574,0,33.9,6728.01617
2024/09,합계,합계,합계,대구,0,72.9,0,0,640.7,0,4.11,0,325.483896000001,0,3.56,0,4.5,0,9.9,1061.153896000001
2024/09,합계,합계,합계,인천,0,5080,0,36.22999999999999,8576.747,0,245.74500000000003,0,138.05248999999995,49,12.599,0,76.33,0,30.78,14245.483489999999
2024/09,합계,합계,합계,광주,0,0,0,0,115.24600000000001,0,21.035,0,311.7317160000002,0,1.83,0,2.12,0,3.96,455.92271600000015
2024/09,합계,합계,합계,대전,0,0,0,0,48.3,0,7.165000000000001,0,57.590189999999986,0,0,0,0.099,0,88,201.15419
2024/09,합계,합계,합계,울산,2800,0,0,0,2514.7,0,37.298,0,123.35559000000019,0,0.3,0,0,0,18.2,5493.85359
2024/09,합계,합계,합계,경기,0,253.35500000000002,0,39.35,18987.716999999997,400,256.93,0,1732.0944760000102,5.271,275.90900000000005,254,62.522999999999996,0,51.45499999999999,22318.604476000004
2024/09,합계,합계,합계,강원,0,6364,400,0,1279.2,1000,98.49600000000001,0,1849.1045330000475,570.1980000000002,525.0949999999999,0,368.46500000000003,0,18.97,12473.528533000048
2024/09,합계,합계,합계,충북,0,0,0,0,0,0,39.6,0,1444.9775640000353,0,507.004,0,2.66,0,51.297,2057.538564000035
2024/09,합계,합계,합계,충남,0,18246.058,0,469.61,4208.45,0,82.72,346.33,3408.619302999952,2,32.297,0,383.56,0,9.39,27189.529662999954
2024/09,합계,합계,합계,전북,0,445.369,0,7.340000000000001,718.4000000000001,600,15.42,0,4449.644407000317,79.5,78.91699999999999,0,477.812,0,14.695,6887.396207000318
2024/09,합계,합계,합계,전남,5900,981.1,0,22.43999999999999,2378.9,0,68.56,0,5947.620790000002,454.87499999999994,36.795,0.08,2.229,0,22.869999999999997,15817.58984
2024/09,합계,합계,합계,경북,12800,156.1,0,18.5,361.6,1400,58.078,0,3568.959283999921,561.3297,179.95499999999998,0,1.5,0,38.935,19144.95698399992
